Zona Operativa,Coordenadas del Poligono
ALM030C,"-58.4197537200,-34.6044539970,0 -58.4212951528,-34.6042938753,0 -58.4213165265,-34.6047584848,0 -58.4212534199,-34.6048393004,0 -58.4210344385,-34.6050336167,0 -58.4209639613,-34.6051324028,0 -58.4198671887,-34.6052707853,0 -58.4195050431,-34.6050750919,0 -58.4193723014,-34.6050180733,0 -58.4193278115,-34.6046598225,0 -58.4194389548,-34.6045749056,0 -58.4194177601,-34.6044186679,0 -58.4192773485,-34.6043603953,0 -58.4191864953,-34.6036846718,0 -58.4196538017,-34.6036548571,0 -58.4197537200,-34.6044539970,0"
ALM030D,"-58.4193324028,-34.6022130432,0 -58.4193026597,-34.6020102118,0 -58.4194080095,-34.6019126239,0 -58.4204671636,-34.6018062105,0 -58.4205631132,-34.6018754591,0 -58.4208061397,-34.6018495839,0 -58.4208800002,-34.6017633862,0 -58.4212479158,-34.6017310185,0 -58.4212992944,-34.6020973861,0 -58.4209749942,-34.6021293775,0 -58.4210780077,-34.6028481412,0 -58.4195296746,-34.6029947786,0 -58.4194111029,-34.6022581491,0 -58.4193324028,-34.6022130432,0"
ALM031A,"-58.4191769813,-34.6036199223,0 -58.4187630589,-34.6036618199,0 -58.4187459305,-34.6035438091,0 -58.4187257639,-34.6035457442,0 -58.4187430289,-34.6036638469,0 -58.4181782565,-34.6037210111,0 -58.4180345622,-34.6036374208,0 -58.4179047705,-34.6036509517,0 -58.4178542571,-34.6033702825,0 -58.4177651391,-34.6033194342,0 -58.4177360527,-34.6031647406,0 -58.4191606248,-34.6030297266,0 -58.4191790591,-34.6031794482,0 -58.4192480237,-34.6032259954,0 -58.4194754746,-34.6032029360,0 -58.4195157615,-34.6034831243,0 -58.4196400286,-34.6035273972,0 -58.4196538017,-34.6036548571,0 -58.4191864953,-34.6036846718,0 -58.4191769813,-34.6036199223,0"
ALM031B,"-58.4210780077,-34.6028481412,0 -58.4210960733,-34.6029772131,0 -58.4210087880,-34.6030570225,0 -58.4210297647,-34.6032107561,0 -58.4207966086,-34.6032325070,0 -58.4208132632,-34.6033616436,0 -58.4207561506,-34.6034300100,0 -58.4196400286,-34.6035273972,0 -58.4195157615,-34.6034831243,0 -58.4194754746,-34.6032029360,0 -58.4192480237,-34.6032259954,0 -58.4191790591,-34.6031794482,0 -58.4191606248,-34.6030297266,0 -58.4210780077,-34.6028481412,0"
ALM031C,"-58.4197537200,-34.6044539970,0 -58.4196538017,-34.6036548571,0 -58.4196400286,-34.6035273972,0 -58.4207561506,-34.6034300100,0 -58.4208132632,-34.6033616436,0 -58.4207966086,-34.6032325070,0 -58.4228402447,-34.6030418423,0 -58.4250881191,-34.6028280051,0 -58.4251187264,-34.6030152707,0 -58.4243688184,-34.6030824035,0 -58.4242598115,-34.6030251281,0 -58.4240506677,-34.6030464925,0 -58.4239824526,-34.6031279520,0 -58.4241831332,-34.6044310759,0 -58.4228946792,-34.6045639956,0 -58.4228187101,-34.6046507621,0 -58.4226119614,-34.6046745353,0 -58.4224996908,-34.6046124941,0 -58.4213165265,-34.6047584848,0 -58.4212951528,-34.6042938753,0 -58.4197537200,-34.6044539970,0"
ALM031D,"-58.4209749942,-34.6021293775,0 -58.4212992944,-34.6020973861,0 -58.4212479158,-34.6017310185,0 -58.4221232448,-34.6016490924,0 -58.4222184631,-34.6017005400,0 -58.4224267635,-34.6016787100,0 -58.4224636285,-34.6018817842,0 -58.4225922845,-34.6019568864,0 -58.4227358248,-34.6028344112,0 -58.4228155361,-34.6028615692,0 -58.4228402447,-34.6030418423,0 -58.4210297647,-34.6032107561,0 -58.4210087880,-34.6030570225,0 -58.4210960733,-34.6029772131,0 -58.4210780077,-34.6028481412,0 -58.4209749942,-34.6021293775,0"
ALM032,"-58.4228486360,-34.6071826600,0 -58.4230585622,-34.6071827432,0 -58.4231167991,-34.6071180279,0 -58.4244797192,-34.6071084448,0 -58.4245890198,-34.6071832896,0 -58.4248001139,-34.6071837598,0 -58.4249042795,-34.6071047993,0 -58.4262360362,-34.6071209035,0 -58.4262415305,-34.6074029392,0 -58.4261490317,-34.6074882128,0 -58.4261798158,-34.6085018340,0 -58.4262775606,-34.6085746941,0 -58.4262722486,-34.6086945396,0 -58.4229905356,-34.6086033202,0 -58.4229911319,-34.6084615822,0 -58.4229019026,-34.6083877598,0 -58.4228081681,-34.6074511955,0 -58.4228716479,-34.6073897000,0 -58.4228486360,-34.6071826600,0"
ALM033A,"-58.4242931398,-34.6046480202,0 -58.4242679037,-34.6044836543,0 -58.4244765486,-34.6044602110,0 -58.4245622502,-34.6043666795,0 -58.4257476552,-34.6042242526,0 -58.4258628515,-34.6043005487,0 -58.4258837486,-34.6044639570,0 -58.4258192137,-34.6045334270,0 -58.4259918408,-34.6058407639,0 -58.4247979318,-34.6058550958,0 -58.4247007174,-34.6059232419,0 -58.4244892081,-34.6059250168,0 -58.4243988042,-34.6058634608,0 -58.4242185058,-34.6047326813,0 -58.4242931398,-34.6046480202,0"
ALM033B,"-58.4265757929,-34.6061848076,0 -58.4267618876,-34.6060723763,0 -58.4267585402,-34.6058301975,0 -58.4274594805,-34.6058200349,0 -58.4275757874,-34.6058954424,0 -58.4278123626,-34.6058939852,0 -58.4279009579,-34.6058203176,0 -58.4289639533,-34.6058114798,0 -58.4290563365,-34.6058838738,0 -58.4290989347,-34.6060529691,0 -58.4290285446,-34.6061439971,0 -58.4290757504,-34.6070522331,0 -58.4279386502,-34.6071168996,0 -58.4278422038,-34.6072021831,0 -58.4276437181,-34.6072068353,0 -58.4275285672,-34.6071278375,0 -58.4262358388,-34.6071210803,0 -58.4249040474,-34.6071047918,0 -58.4249060728,-34.6062009427,0 -58.4265757929,-34.6061848076,0"
ALM033C,"-58.4260813371,-34.6044416365,0 -58.4258838065,-34.6044644120,0 -58.4258628515,-34.6043005487,0 -58.4260594908,-34.6042778491,0 -58.4261483919,-34.6041879629,0 -58.4272047039,-34.6040699944,0 -58.4272958846,-34.6041347031,0 -58.4273235685,-34.6042986593,0 -58.4272357753,-34.6043876593,0 -58.4274594805,-34.6058200349,0 -58.4263407517,-34.6058362524,0 -58.4261479129,-34.6045150985,0 -58.4260813371,-34.6044416365,0"
ALM033D,"-58.4258266843,-34.6035912534,0 -58.4258658137,-34.6035083277,0 -58.4259452973,-34.6033975899,0 -58.4259711847,-34.6033881248,0 -58.4260220507,-34.6033224531,0 -58.4270867554,-34.6032726090,0 -58.4271781974,-34.6033368804,0 -58.4275176467,-34.6033133157,0 -58.4275653975,-34.6036030194,0 -58.4271427817,-34.6036513743,0 -58.4272047039,-34.6040699944,0 -58.4261483919,-34.6041879629,0 -58.4260594908,-34.6042778491,0 -58.4258628515,-34.6043005487,0 -58.4257476552,-34.6042242526,0 -58.4256779979,-34.6036043099,0 -58.4258266843,-34.6035912534,0"
Zona no identificada,"-58.4248252391,-34.6013516703,0 -58.4253381467,-34.6013050197,0 -58.4254489998,-34.6013646019,0 -58.4256485561,-34.6013465598,0 -58.4257327257,-34.6012683498,0 -58.4267843834,-34.6011819515,0 -58.4268752682,-34.6012398553,0 -58.4271102342,-34.6012194535,0 -58.4271395544,-34.6014228177,0 -58.4272502100,-34.6014816818,0 -58.4273231643,-34.6021338796,0 -58.4269117114,-34.6021576636,0 -58.4268292072,-34.6015443038,0 -58.4257936154,-34.6016295342,0 -58.4258136239,-34.6017609875,0 -58.4254374709,-34.6017968320,0 -58.4254155215,-34.6016429297,0 -58.4248700954,-34.6016888867,0 -58.4248252391,-34.6013516703,0"
ALM034B,"-58.4225922845,-34.6019568864,0 -58.4224636285,-34.6018817842,0 -58.4224267635,-34.6016787100,0 -58.4225003142,-34.6015943865,0 -58.4236848841,-34.6014756415,0 -58.4237921120,-34.6015354523,0 -58.4240022324,-34.6015136016,0 -58.4240978047,-34.6014178283,0 -58.4248252391,-34.6013516703,0 -58.4248700954,-34.6016888867,0 -58.4254155215,-34.6016429297,0 -58.4255421082,-34.6025305158,0 -58.4243016047,-34.6026619940,0 -58.4242104311,-34.6027351787,0 -58.4242350883,-34.6029091579,0 -58.4228402447,-34.6030418423,0 -58.4228155361,-34.6028615692,0 -58.4227358248,-34.6028344112,0 -58.4225922845,-34.6019568864,0"
ALM034C,"-58.4243688184,-34.6030824035,0 -58.4251187264,-34.6030152707,0 -58.4256007833,-34.6029699225,0 -58.4256712263,-34.6035306966,0 -58.4257479491,-34.6042241014,0 -58.4245621616,-34.6043668712,0 -58.4244760128,-34.6044598950,0 -58.4242679326,-34.6044838565,0 -58.4241831332,-34.6044310759,0 -58.4239824526,-34.6031279520,0 -58.4240506677,-34.6030464925,0 -58.4242598115,-34.6030251281,0 -58.4243688184,-34.6030824035,0"
ALM034D,"-58.4273032330,-34.6025665145,0 -58.4273246969,-34.6027152601,0 -58.4274273684,-34.6027754651,0 -58.4275173617,-34.6033129353,0 -58.4271785361,-34.6033366666,0 -58.4270871991,-34.6032728410,0 -58.4260220507,-34.6033224531,0 -58.4259711847,-34.6033881248,0 -58.4259456065,-34.6033972045,0 -58.4258658540,-34.6035086203,0 -58.4258266843,-34.6035912534,0 -58.4256779979,-34.6036043099,0 -58.4256007833,-34.6029699225,0 -58.4251187264,-34.6030152707,0 -58.4250881191,-34.6028280051,0 -58.4258516929,-34.6027115230,0 -58.4273032330,-34.6025665145,0"
ALM035A,"-58.4290282916,-34.6061442921,0 -58.4290987585,-34.6060525990,0 -58.4290563866,-34.6058839367,0 -58.4292638066,-34.6058822985,0 -58.4293270933,-34.6058086852,0 -58.4299639391,-34.6058102609,0 -58.4299661699,-34.6061354630,0 -58.4299318947,-34.6069920509,0 -58.4294420649,-34.6070152281,0 -58.4293305899,-34.6071032315,0 -58.4291609307,-34.6071137995,0 -58.4290755519,-34.6070518321,0 -58.4290282916,-34.6061442921,0"
ALM035B,"-58.4279390276,-34.6071167116,0 -58.4283835878,-34.6070913348,0 -58.4284129555,-34.6074430400,0 -58.4279528822,-34.6074686054,0 -58.4280321076,-34.6083712711,0 -58.4275014086,-34.6083728806,0 -58.4275183747,-34.6087131568,0 -58.4262722486,-34.6086945396,0 -58.4262775606,-34.6085746941,0 -58.4261798158,-34.6085018340,0 -58.4261490317,-34.6074882128,0 -58.4262415305,-34.6074029392,0 -58.4262360362,-34.6071209035,0 -58.4275288311,-34.6071281185,0 -58.4276438095,-34.6072070195,0 -58.4278423042,-34.6072021204,0 -58.4279390276,-34.6071167116,0"
ALM035C,"-58.4279528822,-34.6074686054,0 -58.4284129555,-34.6074430400,0 -58.4283835878,-34.6070913348,0 -58.4290755519,-34.6070518321,0 -58.4291609307,-34.6071137995,0 -58.4293305899,-34.6071032315,0 -58.4294420649,-34.6070152281,0 -58.4305064055,-34.6069648643,0 -58.4305827046,-34.6070249852,0 -58.4308270574,-34.6069696693,0 -58.4305725158,-34.6072308226,0 -58.4304936775,-34.6072950015,0 -58.4304572913,-34.6081178593,0 -58.4294634921,-34.6081117428,0 -58.4291249794,-34.6081169188,0 -58.4280081694,-34.6080985310,0 -58.4279528822,-34.6074686054,0"
ALM035D,"-58.4308270574,-34.6069696693,0 -58.4309076350,-34.6069188682,0 -58.4315988161,-34.6072370441,0 -58.4319498731,-34.6065632255,0 -58.4318371622,-34.6065160877,0 -58.4319553732,-34.6062730957,0 -58.4320569470,-34.6063129526,0 -58.4321199436,-34.6064106307,0 -58.4322702347,-34.6065512150,0 -58.4323041275,-34.6066586219,0 -58.4325500665,-34.6066683720,0 -58.4326523937,-34.6065901797,0 -58.4329342301,-34.6066176902,0 -58.4329907467,-34.6066744405,0 -58.4330557906,-34.6070858622,0 -58.4332927296,-34.6074632010,0 -58.4332383355,-34.6075571968,0 -58.4331817382,-34.6076690617,0 -58.4334686916,-34.6079955034,0 -58.4333632131,-34.6081665829,0 -58.4332544480,-34.6081191925,0 -58.4332007287,-34.6082076474,0 -58.4332372604,-34.6082672414,0 -58.4330751001,-34.6086493872,0 -58.4330056261,-34.6086729790,0 -58.4329562304,-34.6088083824,0 -58.4316363580,-34.6087895999,0 -58.4316775455,-34.6079688531,0 -58.4318122075,-34.6077289506,0 -58.4317595006,-34.6075971509,0 -58.4315341218,-34.6075019103,0 -58.4314017381,-34.6075272042,0 -58.4313432487,-34.6076233899,0 -58.4308969652,-34.6076227522,0 -58.4309039898,-34.6074923460,0 -58.4304855349,-34.6074791570,0 -58.4304936775,-34.6072950015,0 -58.4305725158,-34.6072308226,0 -58.4308270574,-34.6069696693,0"
ALM036A,"-58.4275336896,-34.6041244158,0 -58.4276355581,-34.6040314852,0 -58.4287034767,-34.6040082746,0 -58.4288086715,-34.6040709409,0 -58.4290147511,-34.6040560815,0 -58.4290075237,-34.6042614730,0 -58.4288015391,-34.6042715503,0 -58.4287349279,-34.6043439758,0 -58.4288079864,-34.6048913073,0 -58.4277431694,-34.6049492891,0 -58.4276557033,-34.6043390856,0 -58.4275585759,-34.6042867991,0 -58.4275336896,-34.6041244158,0"
ALM036B,"-58.4274273684,-34.6027754651,0 -58.4273246969,-34.6027152601,0 -58.4273032330,-34.6025665145,0 -58.4282152692,-34.6024767421,0 -58.4282417425,-34.6026619185,0 -58.4284884722,-34.6026431538,0 -58.4285774488,-34.6031971638,0 -58.4287034767,-34.6040082746,0 -58.4276355581,-34.6040314852,0 -58.4275173617,-34.6033129353,0 -58.4274273684,-34.6027754651,0"
ALM036C,"-58.4284884722,-34.6026431538,0 -58.4282417425,-34.6026619185,0 -58.4282152692,-34.6024767421,0 -58.4287562791,-34.6024234864,0 -58.4287770947,-34.6025680648,0 -58.4288631242,-34.6026352873,0 -58.4289448257,-34.6031634527,0 -58.4285774488,-34.6031971638,0 -58.4284884722,-34.6026431538,0"
ALM036D,"-58.4285774488,-34.6031971638,0 -58.4289448257,-34.6031634527,0 -58.4290721713,-34.6039866777,0 -58.4290147511,-34.6040560815,0 -58.4288086715,-34.6040709409,0 -58.4287034767,-34.6040082746,0 -58.4285774488,-34.6031971638,0"
ALM038A,"-58.4292663058,-34.6138110170,0 -58.4284760600,-34.6134723802,0 -58.4279711780,-34.6143097534,0 -58.4279135324,-34.6143201344,0 -58.4276570782,-34.6142053167,0 -58.4276338863,-34.6141434821,0 -58.4281490070,-34.6133214511,0 -58.4277105210,-34.6131320604,0 -58.4278194441,-34.6129547945,0 -58.4283372881,-34.6131742433,0 -58.4285088402,-34.6129198945,0 -58.4285200541,-34.6128484482,0 -58.4285705474,-34.6128264775,0 -58.4285829788,-34.6127361832,0 -58.4296032103,-34.6131745488,0 -58.4292663058,-34.6138110170,0"
ALM038B,"-58.4302060238,-34.6154827388,0 -58.4294687344,-34.6151505412,0 -58.4284548221,-34.6150764304,0 -58.4284561302,-34.6149357344,0 -58.4282581857,-34.6148624754,0 -58.4277968194,-34.6148349912,0 -58.4277240605,-34.6148951140,0 -58.4277112621,-34.6150375158,0 -58.4274718204,-34.6150307957,0 -58.4274911453,-34.6148821995,0 -58.4274007937,-34.6148226850,0 -58.4274471276,-34.6144957157,0 -58.4275407915,-34.6144558431,0 -58.4275574935,-34.6143286707,0 -58.4276570782,-34.6142053167,0 -58.4279135324,-34.6143201344,0 -58.4279711780,-34.6143097534,0 -58.4284760600,-34.6134723802,0 -58.4292663058,-34.6138110170,0 -58.4301221727,-34.6141935087,0 -58.4300992353,-34.6152543242,0 -58.4301364018,-34.6153164239,0 -58.4303077859,-34.6152566443,0 -58.4302060238,-34.6154827388,0"
ALM038C,"-58.4262841705,-34.6134924332,0 -58.4267624909,-34.6127700400,0 -58.4268972868,-34.6127340719,0 -58.4269711578,-34.6126281049,0 -58.4269456353,-34.6125273672,0 -58.4271087239,-34.6122837739,0 -58.4272329547,-34.6122551736,0 -58.4272772601,-34.6121751311,0 -58.4285829788,-34.6127361832,0 -58.4285705474,-34.6128264775,0 -58.4285200541,-34.6128484482,0 -58.4285088402,-34.6129198945,0 -58.4283372881,-34.6131742433,0 -58.4278194441,-34.6129547945,0 -58.4277105210,-34.6131320604,0 -58.4281490070,-34.6133214511,0 -58.4276338863,-34.6141434821,0 -58.4265317262,-34.6136569638,0 -58.4264648234,-34.6136720648,0 -58.4262990960,-34.6135987685,0 -58.4262841705,-34.6134924332,0"
Zona no identificada,"-58.4301298033,-34.6139454687,0 -58.4301771270,-34.6140095153,0 -58.4303515267,-34.6140926630,0 -58.4304447869,-34.6142384129,0 -58.4303816050,-34.6151868607,0 -58.4303077859,-34.6152566443,0 -58.4301364018,-34.6153164239,0 -58.4300992353,-34.6152543242,0 -58.4301221727,-34.6141935087,0 -58.4292663058,-34.6138110170,0 -58.4296032103,-34.6131745488,0 -58.4301155238,-34.6133946715,0 -58.4301987383,-34.6134358990,0 -58.4301938598,-34.6135232604,0 -58.4301449582,-34.6135557653,0 -58.4301298033,-34.6139454687,0"
ALM039A,"-58.4255540443,-34.6128551483,0 -58.4251073449,-34.6126664968,0 -58.4253620856,-34.6122157084,0 -58.4245199323,-34.6118416097,0 -58.4244704398,-34.6117323066,0 -58.4244451693,-34.6116669222,0 -58.4245052395,-34.6115738467,0 -58.4246067077,-34.6115205455,0 -58.4247657557,-34.6112619351,0 -58.4247455882,-34.6112017956,0 -58.4247824624,-34.6111307721,0 -58.4272772601,-34.6121751311,0 -58.4272329547,-34.6122551736,0 -58.4271087239,-34.6122837739,0 -58.4269456353,-34.6125273672,0 -58.4269711578,-34.6126281049,0 -58.4268972868,-34.6127340719,0 -58.4267624909,-34.6127700400,0 -58.4258593031,-34.6123903645,0 -58.4255540443,-34.6128551483,0"
ALM039B,"-58.4224718499,-34.6120750462,0 -58.4227010831,-34.6121794586,0 -58.4226300485,-34.6122232894,0 -58.4222694856,-34.6120613498,0 -58.4222121457,-34.6120178964,0 -58.4218189388,-34.6118459855,0 -58.4217562082,-34.6118011544,0 -58.4217745454,-34.6117742819,0 -58.4214491793,-34.6116319960,0 -58.4209722220,-34.6114651816,0 -58.4209859605,-34.6113645994,0 -58.4209257812,-34.6112553865,0 -58.4209786882,-34.6108462045,0 -58.4212886793,-34.6108769792,0 -58.4213778005,-34.6108192558,0 -58.4214089226,-34.6106170050,0 -58.4222404944,-34.6107179177,0 -58.4225642149,-34.6109501665,0 -58.4227456310,-34.6110076782,0 -58.4227236174,-34.6112438103,0 -58.4229700092,-34.6112673534,0 -58.4225620575,-34.6119202431,0 -58.4224718499,-34.6120750462,0"
ALM039C,"-58.4247824622,-34.6111307723,0 -58.4247455877,-34.6112017958,0 -58.4247657553,-34.6112619355,0 -58.4246067080,-34.6115205454,0 -58.4245052393,-34.6115738468,0 -58.4244451691,-34.6116669218,0 -58.4244704397,-34.6117323063,0 -58.4242130129,-34.6121338289,0 -58.4238383756,-34.6119766919,0 -58.4235891927,-34.6123544420,0 -58.4225620575,-34.6119202431,0 -58.4229700092,-34.6112673534,0 -58.4227236174,-34.6112438103,0 -58.4227456310,-34.6110076782,0 -58.4225642149,-34.6109501665,0 -58.4222404944,-34.6107179177,0 -58.4214089226,-34.6106170050,0 -58.4213778005,-34.6108192558,0 -58.4212886793,-34.6108769792,0 -58.4209786882,-34.6108462045,0 -58.4210735531,-34.6101125088,0 -58.4211731278,-34.6100513941,0 -58.4211962381,-34.6097882572,0 -58.4218609097,-34.6099182030,0 -58.4247824622,-34.6111307723,0"
ALM039D,"-58.4267624909,-34.6127700400,0 -58.4262841705,-34.6134924332,0 -58.4256027681,-34.6132179401,0 -58.4255049209,-34.6134055166,0 -58.4224718504,-34.6120750462,0 -58.4225620576,-34.6119202436,0 -58.4235891923,-34.6123544417,0 -58.4238383754,-34.6119766924,0 -58.4242130131,-34.6121338286,0 -58.4244704398,-34.6117323066,0 -58.4245199323,-34.6118416097,0 -58.4253620856,-34.6122157084,0 -58.4251073449,-34.6126664968,0 -58.4255540443,-34.6128551483,0 -58.4258593031,-34.6123903645,0 -58.4267624909,-34.6127700400,0"
ALM040A,"-58.4104672348,-34.6093912952,0 -58.4105323159,-34.6093325302,0 -58.4105360315,-34.6091559686,0 -58.4107600052,-34.6091662273,0 -58.4108769849,-34.6090890737,0 -58.4117692594,-34.6091420719,0 -58.4118511767,-34.6092146353,0 -58.4119578113,-34.6092192216,0 -58.4120435576,-34.6092229103,0 -58.4121859350,-34.6091397426,0 -58.4132003347,-34.6091736366,0 -58.4131910343,-34.6094844282,0 -58.4130455203,-34.6095604150,0 -58.4121543715,-34.6095321116,0 -58.4121177956,-34.6104082759,0 -58.4120250651,-34.6104850406,0 -58.4118325639,-34.6104709704,0 -58.4117699560,-34.6104077950,0 -58.4107964469,-34.6103405214,0 -58.4107275640,-34.6103885860,0 -58.4105040364,-34.6103715633,0 -58.4104525538,-34.6103254084,0 -58.4104672348,-34.6093912952,0"
ALM040B,"-58.4103732770,-34.6106843759,0 -58.4104961877,-34.6106083492,0 -58.4107072401,-34.6106222378,0 -58.4107918218,-34.6107286270,0 -58.4118242257,-34.6107817238,0 -58.4117879760,-34.6115814109,0 -58.4118718449,-34.6116617006,0 -58.4118490197,-34.6118374312,0 -58.4117518423,-34.6119195988,0 -58.4107283188,-34.6118633046,0 -58.4106323273,-34.6117525341,0 -58.4103773161,-34.6117358327,0 -58.4102695071,-34.6118022281,0 -58.4100533230,-34.6117888901,0 -58.4100907777,-34.6114695358,0 -58.4103148443,-34.6114826232,0 -58.4103732770,-34.6106843759,0"
ALM040C,"-58.4089718676,-34.6106012714,0 -58.4090703156,-34.6105110792,0 -58.4090597793,-34.6104336693,0 -58.4104990983,-34.6105262953,0 -58.4104961877,-34.6106083492,0 -58.4103732770,-34.6106843759,0 -58.4103148443,-34.6114826232,0 -58.4100907777,-34.6114695358,0 -58.4100533230,-34.6117888901,0 -58.4093262134,-34.6117440278,0 -58.4092453871,-34.6116649540,0 -58.4091217526,-34.6115792065,0 -58.4090282932,-34.6114500088,0 -58.4089443002,-34.6113667836,0 -58.4089718676,-34.6106012714,0"
ALM040D,"-58.4090252694,-34.6094546216,0 -58.4091348484,-34.6093627665,0 -58.4091657726,-34.6089740765,0 -58.4104514837,-34.6090516184,0 -58.4105360315,-34.6091559686,0 -58.4105323159,-34.6093325302,0 -58.4104672348,-34.6093912952,0 -58.4104525538,-34.6103254084,0 -58.4105040364,-34.6103715633,0 -58.4107275640,-34.6103885860,0 -58.4107964469,-34.6103405214,0 -58.4117699560,-34.6104077950,0 -58.4118325649,-34.6104709713,0 -58.4119062384,-34.6106994677,0 -58.4118242257,-34.6107817238,0 -58.4107918218,-34.6107286270,0 -58.4107072401,-34.6106222378,0 -58.4104961877,-34.6106083492,0 -58.4104990983,-34.6105262953,0 -58.4090597793,-34.6104336693,0 -58.4090522758,-34.6103785399,0 -58.4090359389,-34.6102585104,0 -58.4089786658,-34.6101905064,0 -58.4090252694,-34.6094546216,0"
ALM041A,"-58.4166772637,-34.6120346898,0 -58.4169734999,-34.6112187760,0 -58.4174448943,-34.6113156872,0 -58.4174923460,-34.6111616631,0 -58.4181742133,-34.6112207960,0 -58.4176827325,-34.6123503925,0 -58.4177360270,-34.6124199778,0 -58.4176665272,-34.6125605134,0 -58.4175900777,-34.6126064874,0 -58.4168939092,-34.6124509861,0 -58.4168527310,-34.6123650068,0 -58.4166558027,-34.6123290685,0 -58.4167365838,-34.6121282034,0 -58.4166772637,-34.6120346898,0"
ALM041B,"-58.4164608081,-34.6119682261,0 -58.4166772637,-34.6120346898,0 -58.4167365838,-34.6121282034,0 -58.4166551769,-34.6123305025,0 -58.4165379804,-34.6123658359,0 -58.4163189816,-34.6122981168,0 -58.4164608081,-34.6119682261,0"
ALM041C,"-58.4160764037,-34.6118501908,0 -58.4164608081,-34.6119682261,0 -58.4163189816,-34.6122981168,0 -58.4159236021,-34.6121725820,0 -58.4160764037,-34.6118501908,0"
ALM041D,"-58.4156809301,-34.6117284766,0 -58.4160392020,-34.6110436175,0 -58.4170161844,-34.6110851204,0 -58.4166772637,-34.6120346898,0 -58.4160764037,-34.6118501908,0 -58.4159236021,-34.6121725820,0 -58.4154906497,-34.6120328002,0 -58.4154488203,-34.6119442919,0 -58.4155395884,-34.6117634007,0 -58.4156809301,-34.6117284766,0"
ALM042A,"-58.4130624764,-34.6105597767,0 -58.4130500206,-34.6106943109,0 -58.4119496771,-34.6106170023,0 -58.4119432305,-34.6107137043,0 -58.4118653904,-34.6107942671,0 -58.4118515760,-34.6111569560,0 -58.4121434191,-34.6111685907,0 -58.4121573830,-34.6108152747,0 -58.4131328312,-34.6108881915,0 -58.4130202066,-34.6122088472,0 -58.4130667985,-34.6122731917,0 -58.4132170358,-34.6123395336,0 -58.4131987603,-34.6126577730,0 -58.4120822839,-34.6121621414,0 -58.4120375127,-34.6120626914,0 -58.4118490197,-34.6118374312,0 -58.4118718449,-34.6116617006,0 -58.4117879760,-34.6115814109,0 -58.4118242257,-34.6107817238,0 -58.4119062384,-34.6106994677,0 -58.4118325650,-34.6104709704,0 -58.4120250651,-34.6104850406,0 -58.4121177956,-34.6104082759,0 -58.4129943182,-34.6104758959,0 -58.4130624764,-34.6105597767,0"
Zona no identificada,"-58.4138322390,-34.6119514830,0 -58.4143805279,-34.6109482017,0 -58.4135112660,-34.6109123177,0 -58.4134644099,-34.6108670319,0 -58.4131821733,-34.6108495901,0 -58.4131328312,-34.6108881915,0 -58.4121573830,-34.6108152747,0 -58.4121434191,-34.6111685907,0 -58.4118515760,-34.6111569560,0 -58.4118653904,-34.6107942671,0 -58.4119432305,-34.6107137043,0 -58.4119496771,-34.6106170023,0 -58.4130500206,-34.6106943109,0 -58.4149325775,-34.6108277831,0 -58.4149217526,-34.6109593157,0 -58.4148352075,-34.6110213912,0 -58.4146189763,-34.6114037141,0 -58.4146977339,-34.6114224261,0 -58.4145252313,-34.6117396373,0 -58.4144302416,-34.6117120661,0 -58.4142207013,-34.6120953124,0 -58.4138322390,-34.6119514830,0"
ALM042C,"-58.4121543715,-34.6095321116,0 -58.4130455203,-34.6095604150,0 -58.4131910343,-34.6094844282,0 -58.4134261249,-34.6094971763,0 -58.4135200034,-34.6095899315,0 -58.4144067693,-34.6096263041,0 -58.4143950296,-34.6098853673,0 -58.4149012058,-34.6099147946,0 -58.4148284261,-34.6105891969,0 -58.4156913599,-34.6106450146,0 -58.4157785856,-34.6107354824,0 -58.4158932712,-34.6107410847,0 -58.4158825812,-34.6108556735,0 -58.4159184974,-34.6108866450,0 -58.4159979491,-34.6108893532,0 -58.4160770558,-34.6108641441,0 -58.4171491415,-34.6109147728,0 -58.4171412032,-34.6110233514,0 -58.4170161844,-34.6110851204,0 -58.4160392020,-34.6110436175,0 -58.4159683104,-34.6109688195,0 -58.4158627153,-34.6108991789,0 -58.4157485466,-34.6108535072,0 -58.4149325775,-34.6108277831,0 -58.4130500206,-34.6106943109,0 -58.4130624764,-34.6105597767,0 -58.4129943182,-34.6104758959,0 -58.4121177956,-34.6104082759,0 -58.4121543715,-34.6095321116,0"
ALM042B,"-58.4133678245,-34.6127328230,0 -58.4131987603,-34.6126577730,0 -58.4132170358,-34.6123395336,0 -58.4130667985,-34.6122731917,0 -58.4130202066,-34.6122088472,0 -58.4131328312,-34.6108881915,0 -58.4131821733,-34.6108495901,0 -58.4134644099,-34.6108670319,0 -58.4135112660,-34.6109123177,0 -58.4143805279,-34.6109482017,0 -58.4138322390,-34.6119514830,0 -58.4142207013,-34.6120953124,0 -58.4140208768,-34.6124607828,0 -58.4138739799,-34.6125311735,0 -58.4138197293,-34.6126296532,0 -58.4136580780,-34.6125640028,0 -58.4135726505,-34.6127037916,0 -58.4134691595,-34.6127043175,0 -58.4133678245,-34.6127328230,0"
