Zona Operativa,Coordenadas del Poligono
AGU137B,"-58.4066732546,-34.5793531397,0 -58.4065101627,-34.5791514877,0 -58.4069364360,-34.5788097320,0 -58.4071363304,-34.5790162461,0 -58.4072531503,-34.5789325720,0 -58.4083487966,-34.5802275627,0 -58.4084773058,-34.5802361223,0 -58.4085671743,-34.5803837272,0 -58.4084044202,-34.5804609205,0 -58.4083732913,-34.5805118041,0 -58.4077002363,-34.5807457104,0 -58.4076453471,-34.5807214129,0 -58.4075392186,-34.5805722116,0 -58.4073510035,-34.5806130184,0 -58.4072927914,-34.5805959438,0 -58.4069806261,-34.5799439890,0 -58.4066637380,-34.5794128567,0 -58.4066732546,-34.5793531397,0"
AGU137C,"-58.4049304712,-34.5804179289,0 -58.4061008866,-34.5794796105,0 -58.4065101627,-34.5791514877,0 -58.4066732546,-34.5793531397,0 -58.4066637380,-34.5794128567,0 -58.4069806261,-34.5799439890,0 -58.4070816957,-34.5801550724,0 -58.4052744306,-34.5807365505,0 -58.4051994630,-34.5805661534,0 -58.4051073042,-34.5805512651,0 -58.4050166875,-34.5805860559,0 -58.4049304712,-34.5804179289,0"
AGU137D,"-58.4054806709,-34.5812053140,0 -58.4067344617,-34.5807840590,0 -58.4071390691,-34.5816537422,0 -58.4069587349,-34.5817098412,0 -58.4069278570,-34.5817719986,0 -58.4066955088,-34.5818410704,0 -58.4066106285,-34.5818143979,0 -58.4058944044,-34.5820246240,0 -58.4056316913,-34.5814790476,0 -58.4055518912,-34.5814656045,0 -58.4054361790,-34.5814789263,0 -58.4054471372,-34.5814508781,0 -58.4053844747,-34.5813320189,0 -58.4054014860,-34.5813095316,0 -58.4053019132,-34.5810858597,0 -58.4052362118,-34.5810264928,0 -58.4051851036,-34.5809206806,0 -58.4051984277,-34.5808679951,0 -58.4051774267,-34.5808266088,0 -58.4051381760,-34.5808229628,0 -58.4050166875,-34.5805860559,0 -58.4051073042,-34.5805512651,0 -58.4051994630,-34.5805661534,0 -58.4052744306,-34.5807365505,0 -58.4054806709,-34.5812053140,0"
Zona no identificada,"-58.4134218910,-34.5762085622,0 -58.4134327430,-34.5761206695,0 -58.4133642558,-34.5760022207,0 -58.4134961457,-34.5759458264,0 -58.4134509137,-34.5758719772,0 -58.4144798441,-34.5753621508,0 -58.4143991542,-34.5752484391,0 -58.4146582558,-34.5751229967,0 -58.4145735811,-34.5749939560,0 -58.4148543223,-34.5748653649,0 -58.4150018910,-34.5751070348,0 -58.4145337062,-34.5753315540,0 -58.4145572606,-34.5753630602,0 -58.4134862638,-34.5758912086,0 -58.4135149451,-34.5759377886,0 -58.4136668181,-34.5759805171,0 -58.4150540568,-34.5781937571,0 -58.4148278281,-34.5782691675,0 -58.4147540814,-34.5781531947,0 -58.4146314160,-34.5781195907,0 -58.4143242242,-34.5776494859,0 -58.4140843441,-34.5772764053,0 -58.4139825583,-34.5772573489,0 -58.4138715657,-34.5772930623,0 -58.4137145095,-34.5770549622,0 -58.4139094950,-34.5769688294,0 -58.4134218910,-34.5762085622,0"
AGU142B,"-58.4133642558,-34.5760022207,0 -58.4134327430,-34.5761206695,0 -58.4134218910,-34.5762085622,0 -58.4122636088,-34.5766815314,0 -58.4123700202,-34.5768541072,0 -58.4121158576,-34.5769637113,0 -58.4120125649,-34.5768029029,0 -58.4114601302,-34.5770302605,0 -58.4113804912,-34.5769988952,0 -58.4112043987,-34.5770952665,0 -58.4111848184,-34.5771820971,0 -58.4105394507,-34.5774376892,0 -58.4104069956,-34.5774273382,0 -58.4103277435,-34.5773005230,0 -58.4133642558,-34.5760022207,0"
AGU142C,"-58.4126286144,-34.5777719825,0 -58.4126485041,-34.5777076102,0 -58.4125600068,-34.5775478267,0 -58.4124881440,-34.5775432892,0 -58.4121158576,-34.5769637113,0 -58.4123700202,-34.5768541072,0 -58.4127471797,-34.5774339875,0 -58.4132315786,-34.5772340076,0 -58.4133808396,-34.5774899098,0 -58.4138715657,-34.5772930623,0 -58.4139825583,-34.5772573489,0 -58.4140843441,-34.5772764053,0 -58.4143242242,-34.5776494859,0 -58.4132335038,-34.5781117041,0 -58.4132150966,-34.5781692447,0 -58.4129426159,-34.5782894038,0 -58.4128303433,-34.5781061121,0 -58.4122926743,-34.5783217165,0 -58.4122057654,-34.5781860231,0 -58.4120864107,-34.5779996724,0 -58.4126286144,-34.5777719825,0"
AGU142D,"-58.4123700202,-34.5768541072,0 -58.4122636088,-34.5766815314,0 -58.4134218910,-34.5762085622,0 -58.4139094950,-34.5769688294,0 -58.4137145095,-34.5770549622,0 -58.4138715657,-34.5772930623,0 -58.4133808396,-34.5774899098,0 -58.4132315786,-34.5772340076,0 -58.4127471797,-34.5774339875,0 -58.4123700202,-34.5768541072,0"
AGU143A,"-58.4119700490,-34.5782817332,0 -58.4122057654,-34.5781860231,0 -58.4122926743,-34.5783217165,0 -58.4126237396,-34.5788275065,0 -58.4125951763,-34.5789074749,0 -58.4124366602,-34.5789178023,0 -58.4123419713,-34.5788907808,0 -58.4119700490,-34.5782817332,0"
Zona no identificada,"-58.4097257687,-34.5789089836,0 -58.4108067763,-34.5784933673,0 -58.4111555633,-34.5791250431,0 -58.4113993753,-34.5790320782,0 -58.4110497986,-34.5784163380,0 -58.4118628881,-34.5781081297,0 -58.4119700490,-34.5782817332,0 -58.4123419713,-34.5788907808,0 -58.4124366602,-34.5789178023,0 -58.4125387856,-34.5790735225,0 -58.4115540377,-34.5794179150,0 -58.4115233840,-34.5793613124,0 -58.4114060787,-34.5794040311,0 -58.4113680671,-34.5795104580,0 -58.4103592749,-34.5798609360,0 -58.4101912635,-34.5795603076,0 -58.4100994951,-34.5795957641,0 -58.4097257687,-34.5789089836,0"
Zona no identificada,"-58.4098116152,-34.5797171124,0 -58.4094432442,-34.5789927158,0 -58.4094535635,-34.5789315417,0 -58.4096549160,-34.5788872974,0 -58.4097257687,-34.5789089836,0 -58.4100994951,-34.5795957641,0 -58.4101912635,-34.5795603076,0 -58.4103592749,-34.5798609360,0 -58.4103276792,-34.5798719126,0 -58.4102137295,-34.5798377597,0 -58.4099953906,-34.5799132810,0 -58.4099643502,-34.5799979665,0 -58.4089132173,-34.5803555968,0 -58.4088034626,-34.5803363348,0 -58.4084773058,-34.5802361223,0 -58.4086497393,-34.5801684874,0 -58.4086978462,-34.5800954211,0 -58.4098116152,-34.5797171124,0"
